"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10473","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144562","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10474","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144563","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10475","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144564","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10476","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144565","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10477","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144566","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10478","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144567","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10479","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144568","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10480","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144571","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10481","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144639","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10482","Uttar Pradesh","Street lights","WS/MP18317/2024-2025/144654","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10483","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144655","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","03-Jul-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216332"
"10484","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144653","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10485","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144569","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10486","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144570","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10487","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144640","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10488","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144641","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10489","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144642","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10490","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144643","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10491","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144644","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10492","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144645","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10493","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144646","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10494","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144647","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10495","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144648","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10496","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144650","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10497","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144652","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10498","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144530","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10499","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144531","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10500","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144532","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10501","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144528","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10502","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144529","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10503","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144519","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10504","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144515","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10505","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144516","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10506","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144517","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10507","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144518","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10508","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144520","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10509","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144521","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10510","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144522","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10511","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144523","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10512","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144524","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10513","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144526","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10514","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144527","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10515","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144511","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10516","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144512","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10517","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144513","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10518","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144514","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10519","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144506","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10520","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144507","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10521","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144508","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10522","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144509","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10523","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144510","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","16-Jun-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10524","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144484","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10525","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144488","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10526","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144485","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10527","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144489","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10528","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144486","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10529","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144490","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10530","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144487","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10531","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144498","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10532","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144499","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10533","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144500","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10534","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144503","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10535","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144505","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","12-May-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216338"
"10536","Puducherry","Construction of night shelters for homeless","WS/MP139/2023-2024/58554","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","06-May-2025","Vasanthraj","Payment Success","2346691"
"10537","Gujarat","Construction of culverts and bridges","WS/MP18288/2025-2026/232597","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","04-Jul-2026","Sarpanch Gram Panchayat Bhatha","Payment Success","500000"
"10538","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2024-2025/158406","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","26-Mar-2025","CC for Construction of Samannay Path at Kahilipara","Payment Success","960000"
"10539","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2024-2025/158406","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","09-Sep-2025","CC for Construction of Samannay Path at Kahilipara","Payment Success","640000"
"10540","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/149379","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","20-Aug-2025","VIRUNA GRAM PANCHAYAT","Payment Success","500000"
"10541","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/147853","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","29-Aug-2025","VIRUNA GRAM PANCHAYAT","Payment Success","500000"
"10542","Punjab","Construction of community centers and community halls","WS/MP141/2025-2026/261058","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Apr-2026","Ms S and S Building Material LLP Dasuya","Payment Success","27997"
"10543","Punjab","Construction of community centers and community halls","WS/MP141/2025-2026/261058","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Apr-2026","Ms S and S Building Material LLP Dasuya","Payment Success","36000"
"10544","Punjab","Construction of community centers and community halls","WS/MP141/2025-2026/261058","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Apr-2026","Ms S and S Building Material LLP Dasuya","Payment Success","48125"
"10545","Punjab","Construction of community centers and community halls","WS/MP141/2025-2026/261058","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Apr-2026","Ms S and S Building Material LLP Dasuya","Payment Success","17325"
"10546","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/145105","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","29-Jan-2025","CHEEMARLA MANOHAR REDDY","Payment Success","496159"
"10547","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","Rahul Traders","Payment Success","40500"
"10548","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","84852"
"10549","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","68002"
"10550","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","64574"
"10551","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","86624"
"10552","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","90270"
"10553","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","91350"
"10554","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/192666","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Jan-2026","Tiwari Traders","Payment Success","70350"
"10555","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18290/2024-2025/141355","DHULE(DISTRICT COLLECTOR DHULE_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","10-Mar-2025","Sarpanch Grampanchayat Shewali DA","Payment Success","1499356"
"10556","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18290/2024-2025/141356","DHULE(DISTRICT COLLECTOR DHULE_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","10-Mar-2025","Sarpanch Grampanchayat Shewali DA","Payment Success","1495941"
"10557","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/189848","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-Mar-2026","Sanjivani Construction Co","Payment Success","2498104"
"10558","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/174215","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","21-Jan-2026","Kamal Enterprises","Payment Success","2498103"
"10559","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/174218","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","21-Jan-2026","Kamal Enterprises","Payment Success","2797875"
"10560","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/189828","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-Mar-2026","Kamal Enterprises","Payment Success","2498104"
"10561","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP116/2025-2026/189829","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-Mar-2026","Kamal Enterprises","Payment Success","2498104"
"10562","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/174194","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","21-Jan-2026","Kamal Enterprises","Payment Success","3494713"
"10563","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2026-2027/174240","MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-May-2026","Kamal Enterprises","Payment Success","2198331"
"10564","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/189849","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","20-Mar-2026","Shekhar Constructions","Payment Success","2995469"
