"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19469","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/62045","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","16-May-2024","RAHISH WARSI","Payment Success","549946"
"19470","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60015","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19471","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60011","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19472","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60008","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19473","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60017","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19474","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60016","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19475","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60018","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19476","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60009","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","10-Apr-2024","RAHISH WARSI","Payment Success","581705"
"19477","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61981","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","08-Apr-2024","RAHISH WARSI","Payment Success","499951.25"
"19478","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61952","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","09-Apr-2024","RAHISH WARSI","Payment Success","549945"
