"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3346","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196679","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Aug-2025","SUHAVI ENTERPRISES","Payment Success","300000"
"3347","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196673","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Aug-2025","RAK INDUSTRIES","Payment Success","750000"
"3348","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196678","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Aug-2025","RAK INDUSTRIES","Payment Success","750000"
"3349","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196680","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Aug-2025","RAK INDUSTRIES","Payment Success","750000"
"3350","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211132","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","10-Sep-2025","R BHARATHI","Payment Success","199980"
"3351","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/164148","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","18-Aug-2025","K Adhikesavan","Payment Success","499950"
"3352","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18173/2024-2025/137444","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","26-Aug-2025","EST CONSTRUCTION","Payment Success","999500"
"3353","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18173/2024-2025/137448","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","26-Aug-2025","K Adhikesavan","Payment Success","499950"
"3354","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196669","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","20-Aug-2025","SUHAVI ENTERPRISES","Payment Success","300000"
"3355","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196668","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","20-Aug-2025","RAK INDUSTRIES","Payment Success","550000"
"3356","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/196670","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","20-Aug-2025","SUHAVI ENTERPRISES","Payment Success","300000"
"3357","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/200737","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","20-Aug-2025","SUHAVI ENTERPRISES","Payment Success","300000"
"3358","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/200738","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","20-Aug-2025","SUHAVI ENTERPRISES","Payment Success","300000"
"3359","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211124","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","19-Feb-2026","JK APPASAMY CONSTRUCTION","Payment Success","199980"
"3360","Tamil Nadu","Providing drains and gutters for public drainage","WS/MP18173/2025-2026/232761","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","19-Feb-2026","JK APPASAMY CONSTRUCTION","Payment Success","199960"
"3361","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2025-2026/225953","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","19-Feb-2026","DHANDABANI K NALLUR","Payment Success","399689"
"3362","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211125","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","19-Jan-2026","PERUMALSAMY","Payment Success","199882"
"3363","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/232758","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","22-Jan-2026","Kalaimani Nallur","Payment Success","199936"
"3364","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2025-2026/211123","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","27-Jan-2026","S Valarmathi","Payment Success","299818"
"3365","Tamil Nadu","Lighting of public spaces","WS/MP18173/2025-2026/232613","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","24-Dec-2025","R A KARMIKA KOLAPAKKAM BOB","Payment Success","550000"
"3366","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/137452","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","05-Feb-2025","PUSHPA K","Payment Success","199940"
"3367","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2024-2025/137458","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","07-Feb-2025","S Valarmathi","Payment Success","499848"
"3368","Tamil Nadu","Construction of culverts and bridges","WS/MP18173/2024-2025/137453","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","07-Feb-2025","RAJASEKARAN C","Payment Success","299940"
"3369","Tamil Nadu","Lighting of public spaces","WS/MP18173/2024-2025/152438","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","11-Jun-2025","Royal Furniture Electricals","Payment Success","700000"
"3370","Tamil Nadu","Lighting of public spaces","WS/MP18173/2024-2025/164143","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","11-Jun-2025","Royal Furniture Electricals","Payment Success","300000"
"3371","Tamil Nadu","Lighting of public spaces","WS/MP18173/2024-2025/147823","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","11-Jun-2025","Royal Furniture Electricals","Payment Success","300000"
"3372","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211122","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","07-Oct-2025","ETHIRAJ R","Payment Success","199960"
"3373","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211118","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Oct-2025","RAJASEKARAN C","Payment Success","199860"
"3374","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211121","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Oct-2025","MAHESWARI","Payment Success","499700"
"3375","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211120","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","08-Oct-2025","RAJASEKARAN C","Payment Success","199860"
"3376","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2024-2025/137454","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","10-Oct-2025","ELANGOVAN","Payment Success","499850"
"3377","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18173/2025-2026/211119","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","10-Oct-2025","PERUMALSAMY","Payment Success","299697"
"3378","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18176/2025-2026/206523","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","31-Dec-2025","AAthavan construction","Payment Success","625265"
"3379","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP18176/2024-2025/142553","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","10-Mar-2026","KALIKURUCHI P","Payment Success","632795"
"3380","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18176/2025-2026/206523","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","11-Mar-2026","AAthavan construction","Payment Success","372847"
"3381","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP18176/2024-2025/142553","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","31-Jan-2025","KALIKURUCHI P","Payment Success","850365"
"3382","Tamil Nadu","Construction of footpaths and pedestrian ways","WS/MP758/2025-2026/201204","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","12-Jan-2026","VELMURUGAN S","Payment Success","550000"
"3383","Tamil Nadu","Setting up public non-conventional energy plants","WS/MP18176/2025-2026/246743","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","16-Apr-2026","SSR Enterprises","Payment Success","578000"
"3384","Tamil Nadu","Setting up public non-conventional energy plants","WS/MP18176/2025-2026/246744","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","16-Apr-2026","SSR Enterprises","Payment Success","578000"
"3385","Tamil Nadu","Setting up public non-conventional energy plants","WS/MP18176/2025-2026/246745","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","16-Apr-2026","SSR Enterprises","Payment Success","578000"
"3386","Tamil Nadu","Providing CCTV camera system for security of public areas","WS/MP18176/2024-2025/146590","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","28-Jul-2025","KALIYAMMAL MUTHUPANDI","Payment Success","1199254"
"3387","Tamil Nadu","Providing CCTV camera system for security of public areas","WS/MP18176/2024-2025/146590","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","18-Feb-2025","KALIYAMMAL M","Payment Success","1900000"
"3388","Tamil Nadu","Providing CCTV camera system for security of public areas","WS/MP18176/2024-2025/146590","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","21-Jan-2025","KALIYAMMAL M","Payment Success","1900000"
"3389","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP758/2025-2026/164226","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","12-Mar-2026","THANGAVEL BALAJI","Payment Success","799812"
"3390","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP758/2025-2026/210908","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","25-Jun-2026","Saminathan","Payment Success","286413"
"3391","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200452","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","03-Aug-2026","ASHIKA CONSTRUCTION","Payment Success","522388"
"3392","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200451","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","06-May-2026","RAJANBABU P","Payment Success","518849"
"3393","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/211850","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","26-Mar-2026","KASI P","Payment Success","453041"
"3394","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200531","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","27-Mar-2026","KASI P","Payment Success","544073"
"3395","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225351","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3396","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202111","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Aug-2025","Ss Construction","Payment Success","835440"
"3397","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202110","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Aug-2025","Ss Construction","Payment Success","626580"
"3398","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202073","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Aug-2025","Ss Construction","Payment Success","626580"
"3399","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202070","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Aug-2025","Ss Construction","Payment Success","522150"
"3400","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202071","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Aug-2025","Ss Construction","Payment Success","1044300"
"3401","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174398","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1044300"
"3402","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174399","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","626580"
"3403","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174397","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1044300"
"3404","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225417","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Feb-2026","DHANASEKARAN K","Payment Success","626580"
"3405","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225249","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3406","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225333","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3407","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225418","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3408","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225336","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3409","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225338","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Oct-2025","DHANASEKARAN K","Payment Success","835440"
"3410","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225393","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","DHANASEKARAN K","Payment Success","835440"
"3411","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225352","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3412","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225419","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","DHANASEKARAN K","Payment Success","835440"
"3413","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225388","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3414","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18182/2024-2025/134222","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","30-Sep-2024","R R BUILDERS","Payment Success","2486079"
"3415","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18182/2024-2025/134224","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","30-Sep-2024","R R BUILDERS","Payment Success","2481067"
"3416","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18182/2024-2025/134225","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","10-Oct-2024","R R BUILDERS","Payment Success","2482079"
"3417","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18182/2024-2025/134223","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","10-Oct-2024","R R BUILDERS","Payment Success","2493302"
"3418","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/195611","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","08-Jul-2025","R R BUILDERS","Payment Success","2494268"
"3419","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/195610","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","08-Jul-2025","R R BUILDERS","Payment Success","2488445"
"3420","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/195612","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","17-Jul-2025","R R BUILDERS","Payment Success","2480652"
"3421","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/195613","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","17-Jul-2025","R R BUILDERS","Payment Success","2485825"
"3422","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202159","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3423","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202147","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3424","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202149","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3425","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202152","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3426","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202153","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3427","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202154","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","10-Oct-2025","Ss Construction","Payment Success","626580"
"3428","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225358","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","522150"
"3429","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225372","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","417720"
"3430","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225380","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","1044300"
"3431","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225381","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3432","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225378","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3433","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225377","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","522150"
"3434","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225382","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","28-Oct-2025","DHANASEKARAN K","Payment Success","626580"
"3435","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225470","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","09-Dec-2025","DHANASEKARAN K","Payment Success","626580"
"3436","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225357","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Dec-2025","DHANASEKARAN K","Payment Success","626580"
"3437","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225370","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Dec-2025","DHANASEKARAN K","Payment Success","522150"
"3438","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225384","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Dec-2025","DHANASEKARAN K","Payment Success","835440"
"3439","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/225424","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","04-Dec-2025","DHANASEKARAN K","Payment Success","522150"
"3440","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174367","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","11-Mar-2025","DHANASEKARAN K","Payment Success","960756"
"3441","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174384","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1044300"
"3442","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174366","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","1462020"
"3443","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174364","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","2088600"
"3444","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2024-2025/174383","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","18-Feb-2025","DHANASEKARAN K","Payment Success","3132900"
"3445","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202141","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","25-Aug-2025","Ss Construction","Payment Success","1044300"
"3446","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202142","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","25-Aug-2025","Ss Construction","Payment Success","1044300"
"3447","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202143","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","25-Aug-2025","Ss Construction","Payment Success","1044300"
"3448","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202146","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","25-Aug-2025","Ss Construction","Payment Success","1044300"
"3449","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18178/2025-2026/202137","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","25-Aug-2025","Ss Construction","Payment Success","1462020"
"3450","Tamil Nadu","Construction of community centers and community halls","WS/MP18178/2025-2026/174415","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","30-Aug-2025","RAGUL N","Payment Success","188500"
