"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"787","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/217271","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","23-Sep-2025","SHERIN ENTERPRISES","Payment Success","200000"
"788","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/217273","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","23-Sep-2025","SHERIN ENTERPRISES","Payment Success","200000"
"789","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/217275","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","23-Sep-2025","SHERIN ENTERPRISES","Payment Success","200000"
"790","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/217274","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","23-Sep-2025","SHERIN ENTERPRISES","Payment Success","200000"
"791","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181991","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"792","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181993","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"793","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181989","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"794","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181996","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"795","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181990","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"796","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181992","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"797","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181994","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"798","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181997","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"799","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181999","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"800","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/182001","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"801","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/182002","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
