"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"61","Normal/Others","WS/MP18173/2025-2026/164088-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at Avaniyapuram  Panchayat","08-Jan-2025","26-Apr-2025","499524","Physical Inspection"
"62","Normal/Others","WS/MP017/2024-2025/166512-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","Construction of Multi Purpose Building at draupadi Amman Koil Street","18-Jan-2025","23-Jan-2025","1199072","Physical Inspection"
"63","Normal/Others","WS/MP393/2025-2026/167521-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","Construction of PDS Outlet at Madapuram Village, Madapuram Panchayat in Thiruppuvanam Block","23-Jan-2025","09-Jul-2025","992411","Physical Inspection"
"64","Normal/Others","WS/MP18394/2026-2027/168180-Construction of community centers and community halls","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","V S Matheswaran","NAMAKKAL","Salem District Sangakiri Municipality Ward No.18 Anaekalpalayam PDS  Building Construction","04-Feb-2025","02-Sep-2026","1530000","Sanction"
"65","Normal/Others","WS/MP393/2025-2026/170723-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","construction of Drama Stage in Near Sithi Vinayagar Kovil in Kurumbur Village, Kurumbur  Panchayat","11-Mar-2025","02-Jul-2025","849228","Physical Inspection"
"66","Normal/Others","WS/MP756/2025-2026/171028-Construction of community centers and community halls","Tamil Nadu","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Construction of Ration Shop at Parppanachery Village Parppanachery Panchayat in Thirumanur Block.","31-Jan-2025","02-Mar-2026","1200000","Work partially Completed"
"67","Normal/Others","WS/MP756/2026-2027/171070-Construction of community centers and community halls","Tamil Nadu","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Construction of Ration Shop at Vadaveekkam Village Thandalai Panchayat in Jayankondam Block.","31-Jan-2025","13-Aug-2026","1200000","Physical Inspection"
"68","Normal/Others","WS/MP18185/2025-2026/176145-Construction of community centers and community halls","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of PDS Shop Building at RSA Nagar area in Ward No.1 in Thachanallur Zone in Tirunelveli Corporation.","21-Feb-2025","08-Jan-2026","1350000","Work Completed"
"69","Normal/Others","WS/MP508/2025-2026/176412-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Construction of Community Center First Floor at Palayanur Panchayat","12-Mar-2025","18-Sep-2025","5000000","Vendor Identification"
"70","Normal/Others","WS/MP747/2026-2027/178049-Construction of community centers and community halls","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","Construction of community hall in Govindanallur Village at Kattanarpatti Panchayat","24-Mar-2025","13-May-2026","2999494","Physical Inspection"
"71","Normal/Others","WS/MP747/2026-2027/178082-Construction of community centers and community halls","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","Construction of community center in Ward no 27 at Virudhunagar Municipality","24-Mar-2025","13-May-2026","1000000","Work partially Completed"
"72","Normal/Others","WS/MP18181/2025-2026/179548-Construction of community centers and community halls","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","Construction of Public Distribution Shop at Palaghat main road ward No.15 Bathrakaliyamman kovil street (Vivega Avenue) in Madukkarai Municipality","06-Mar-2025","10-Dec-2025","1306062","Physical Inspection"
"73","Normal/Others","WS/MP458/2025-2026/180092-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Multi Purpose Hall at Paneerkulam Village and Panchayat in Kayathar Panchayat Union","12-Mar-2025","21-Jul-2025","3998675","Physical Inspection"
"74","Normal/Others","WS/MP751/2025-2026/180907-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Construction of PDS in Ward No.55 poonthottam, Madurai (2024-2025)","11-Mar-2025","13-Oct-2025","700000","Physical Inspection"
"75","Normal/Others","WS/MP508/2025-2026/189210-Construction of community centers and community halls","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Construction of Multi Purpose Building at Kurumber theru in Udhaiyamuthur Panchayat","21-Apr-2025","16-Sep-2025","599276","Physical Inspection"
