"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3779","Normal/Others","WS/MP758/2025-2026/200657-Construction of water tanks","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Construction of 30,000 Litres Over Head Tank (OHT) in Vadugapatti, Modakkur Keeel Bagam Panchayat in Aravakurichi Panchayat Union.","18-May-2025","17-Oct-2025","1660000","Vendor Identification"
"3780","Normal/Others","WS/MP758/2025-2026/201204-Construction of footpaths and pedestrian ways","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","Construction of Pathway Steps to the A.Kombai Cremation center in A.Kombai, Ward no 14, Ayyalur Town Panchayat","20-May-2025","26-Dec-2025","550000","Work Completed"
"3781","Normal/Others","WS/MP758/2025-2026/201516-Purchase of smart boards, visual display units and projectors","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class Board for the Government Boys Higher Secondary School,Viralimalai","20-May-2025","18-Jun-2025","200000","Work Completed"
"3782","Normal/Others","WS/MP758/2025-2026/201225-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class for 5 Classrooms in Government Arts College,Thanthondri Malai,Karur","20-May-2025","13-Feb-2026","993825","Physical Inspection"
"3783","Normal/Others","WS/MP758/2025-2026/201547-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class Board for the Government High School, N.Pudhur, Karur","20-May-2025","18-Feb-2026","199966","Physical Inspection"
"3784","Normal/Others","WS/MP758/2025-2026/201579-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class Board for the Government High School, Sounthirapuram, Aravakurichi","20-May-2025","18-Feb-2026","199968","Physical Inspection"
"3785","Normal/Others","WS/MP758/2025-2026/201726-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class Board for the Government Boys Higher Secondary School, Manapparai (Ward no 24)","20-May-2025","10-Sep-2025","199500","Physical Inspection"
"3786","Normal/Others","WS/MP758/2025-2026/213692-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","Construction of Ration shop in Kudappam Panchayat, Vedasandhur Union.","30-Jun-2025","17-Feb-2026","1342754","Physical Inspection"
"3787","Normal/Others","WS/MP758/2025-2026/242882-Purchase of IT systems, including hardware and software for educational purposes","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Installation of Smart Board in CSI Girls higher Secondary School, Karur","17-Oct-2025","13-Mar-2026","200000","Sanction"
"3788","Normal/Others","WS/MP758/2025-2026/242885-Purchase of IT systems, including hardware and software for educational purposes","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Installation of Smart Board in Malaipatti Middle School, Thirukkampuliyur Panchayat, Krishnarayapuram Block","17-Oct-2025","10-Mar-2026","199900","Physical Inspection"
"3789","Normal/Others","WS/MP866/2025-2026/213688-Construction of boundary walls of existing public and community buildings","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy","CHENNAI NORTH","Construction of compound wall at Old Block Vyasarpadi 192 tenements  in division 46 Colony, Perambur  Constituency.","01-Jul-2025","19-Feb-2026","7500000","Work partially Completed"
"3790","Normal/Others","WS/MP870/2025-2026/200525-Construction of bus-sheds or bus-stops","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","Construction of Bus shelter at Kodaiyanchi Panchyat Natrampalli union.","17-May-2025","21-Nov-2025","1097477","Physical Inspection"
"3791","Normal/Others","WS/MP870/2025-2026/200534-Construction of bus-sheds or bus-stops","Tamil Nadu","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","Construction of Bus shelter at Thenputhupattu Melpallipattu Panchyat Anaicut Union","17-May-2025","09-Jul-2025","1100000","Work Completed"
"3792","Normal/Others","WS/MP870/2025-2026/209585-Construction of bus-sheds or bus-stops","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","Construction of Bus Shelter at Mittalam Bus Stop in Madhanur Union.","17-Jun-2025","21-Nov-2025","1100000","Sanction"
"3793","Normal/Others","WS/MP870/2025-2026/211850-Construction of bus-sheds or bus-stops","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","Construction of bus shelter at Vadacheri A Colony in Vadacheri village Madhanur Union","24-Jun-2025","21-Nov-2025","750000","Work partially Completed"
"3794","Normal/Others","WS/MP870/2025-2026/211851-Construction of bus-sheds or bus-stops","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","D M Kathir Anand","VELLORE","Construction of bus shelter Melshanankuppam Bus stop (Opp to RI Quarters in Melshanankuppam village Madhanur union.","24-Jun-2025","21-Nov-2025","750000","Sanction"
"3795","Normal/Others","WS/MP870/2025-2026/234808-Construction of bus-sheds or bus-stops","Tamil Nadu","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","Construction of Bus Shelter at Mukkundram Bus Stop (Main Road) in Mukkundram Village Gudiyatham Union.","17-Sep-2025","27-Nov-2025","1100000","Physical Inspection"
"3796","Normal/Others","WS/MP18173/2024-2025/137458-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor at Kothandaram Panchayat","05-Sep-2024","27-Dec-2024","500000","Physical Inspection"
"3797","Normal/Others","WS/MP18173/2024-2025/137922-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Bus Shelter at S.V. Nagar Panchayat","05-Sep-2024","02-Jan-2025","1500000","Vendor Identification"
"3798","Normal/Others","WS/MP18173/2024-2025/137923-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement opposite to School and Drama Stage in Eramalur Panchayat","05-Sep-2024","21-Oct-2024","99990","Physical Inspection"
"3799","Normal/Others","WS/MP18173/2024-2025/138501-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Kalaingar Nagar in Vengandur Panchayat","05-Sep-2024","24-Sep-2024","399856","Physical Inspection"
"3800","Normal/Others","WS/MP18173/2024-2025/139192-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of V.A.O Office building in Perumbugai Panchayat","05-Sep-2024","18-Oct-2024","999121","Physical Inspection"
"3801","Normal/Others","WS/MP18173/2025-2026/139199-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providig CC Pavement at Abirami Ramanathan hospital near nara street at vandavasi municipality","05-Sep-2024","11-Jul-2025","150000","Vendor Identification"
"3802","Normal/Others","WS/MP18173/2025-2026/139200-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor in Vaduvankudisai at Peranamallur Municipality","05-Sep-2024","18-Aug-2025","500000","Work Completed"
"3803","Normal/Others","WS/MP18173/2025-2026/151517-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini High Mass Light (9 Mt Height 100 W) 6 numbers at ADC in Kipattu panchayat","14-Nov-2024","14-May-2025","300000","Physical Inspection"
"3804","Normal/Others","WS/MP18173/2025-2026/164126-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Bus Shelter at Kalambur Anchenaya Temple Bustand","08-Jan-2025","18-Sep-2025","500000","Vendor Identification"
"3805","Normal/Others","WS/MP18173/2025-2026/164135-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Installation of Mini High Mass Light (9 Mt Height 100 W) 6 numbers at Melsathamangalam Panchayat","08-Jan-2025","26-Apr-2025","300000","Physical Inspection"
"3806","Normal/Others","WS/MP18173/2025-2026/196634-Setting up of laboratories","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Supply of Lab Equipments to the Govt Higher Secondary School,   Malaiyur ( Savings )","04-May-2025","13-Jun-2025","625000","Physical Inspection"
"3807","Normal/Others","WS/MP18173/2025-2026/196665-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Solar Light 9 Mt, 100W, Solar LED Light 6 No.  at Meyyur Panchayat in Arani Block (savings)","19-May-2025","17-Nov-2025","550000","Physical Inspection"
"3808","Normal/Others","WS/MP18173/2025-2026/196666-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Solar Light 9 Mt, 100W, Solar LED Light 6 No.  at Irumbedu Panchayat, Govt. Depo Opposite in Arani Block (savings)","19-May-2025","17-Nov-2025","550000","Physical Inspection"
"3809","Normal/Others","WS/MP18173/2025-2026/196667-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Solar Light 9 Mt, 100W, Solar LED Light 6 No.  at Vannankulam Panchayat, West Arani Block (savings)","19-May-2025","25-Sep-2025","550000","Physical Inspection"
"3810","Normal/Others","WS/MP18173/2025-2026/196668-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Solar Light 9 Mt, 100W, Solar LED Light 6 No.  at TK Durai Drama Stage Opposite Thellar Block (savings)","19-May-2025","18-Jun-2025","550000","Physical Inspection"
"3811","Normal/Others","WS/MP18173/2025-2026/196670-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Light 9 Mt, 150W, LED Light 6 No. at Kilvelliyur Panchayat in Thellar Block (savings)","19-May-2025","18-Jun-2025","300000","Physical Inspection"
"3812","Normal/Others","WS/MP18173/2025-2026/196678-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in High Mass Solar Light 12 Mt, 100W, Solar LED Light 6 No.  at Kilkodungalur Panchayat in Vandavasi Block (savings)","19-May-2025","18-Jun-2025","750000","Physical Inspection"
"3813","Normal/Others","WS/MP18173/2025-2026/196680-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in High Mass Solar Light 12 Mt, 100W, Solar LED Light 6 No.  at Sri Muthumariyamman Temple in Kilsathamangalam Panchayat in Vandavasi Block (savings)","19-May-2025","18-Jun-2025","750000","Physical Inspection"
"3814","Normal/Others","WS/MP18173/2025-2026/196691-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in High Mass Solar Light 12 Mt, 100W, Solar LED Light 6 No. at polur Municipality (War No.9) in Allinagar near Diamond ground","19-May-2025","01-Sep-2025","750000","Work Completed"
"3815","Normal/Others","WS/MP18173/2025-2026/196692-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in High Mass Light 12 Mt, 150W, LED Light 6 No. at Vasur Kootu Salai in Polur Block","19-May-2025","25-Sep-2025","750000","Physical Inspection"
"3816","Normal/Others","WS/MP18173/2025-2026/196693-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Light 9 Mt, 150W, LED Light 6 No.  at Devimangalam Panchayat in Chetpet Block","19-May-2025","08-Jul-2025","300000","Physical Inspection"
"3817","Normal/Others","WS/MP18173/2025-2026/209146-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement near Draupadi amman Koil in Arasampattu Panchayat","08-Jul-2025","27-Jan-2026","498424","Physical Inspection"
"3818","Normal/Others","WS/MP18173/2025-2026/211100-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Gandhi Nagar in Marusoor Panchayat","08-Jul-2025","17-Oct-2025","499701","Physical Inspection"
"3819","Normal/Others","WS/MP18173/2025-2026/211101-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Mettu Street in Adanur Panchayat","08-Jul-2025","17-Oct-2025","249925","Physical Inspection"
"3820","Normal/Others","WS/MP18173/2025-2026/211126-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement on the way to Andipandaram cementery in Karam Panchayat","08-Jul-2025","10-Sep-2025","199980","Physical Inspection"
"3821","Normal/Others","WS/MP18173/2025-2026/216124-Lighting of public spaces","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Mini Mass Solar Light 9 Mt, 100W, Solar LED Light 6 No. at Kappalambadi in Melmalaiyanur Block","09-Jul-2025","25-Jul-2025","549395","Physical Inspection"
"3822","Normal/Others","WS/MP18173/2025-2026/225960-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Kottaikul Street at Vandavasi Municipality","03-Sep-2025","02-Jan-2026","997583","Physical Inspection"
"3823","Normal/Others","WS/MP18173/2026-2027/225966-Construction of buildings for sports facilities","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Dr. Ashap Sports Centre in Nirmal Nagar","03-Sep-2025","19-Jun-2026","200000","Vendor Identification"
"3824","Normal/Others","WS/MP18173/2025-2026/225967-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing of Installation in Solar LED 100 W Light Mini Mass 9 Mt. Height near at Veerampakkam Kalaingar Park","03-Sep-2025","05-Nov-2025","550000","Physical Inspection"
"3825","Normal/Others","WS/MP18173/2025-2026/231079-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Mathumarakayar 3rd cross street at Ward no 6 in Vandavasi Municipality","03-Sep-2025","13-Feb-2026","195666","Physical Inspection"
"3826","Normal/Others","WS/MP18173/2025-2026/231088-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of cement concrete pavement at Mozhiyanur Indira nagar road in Nagar area at Nedumozhianur Panchayat","03-Sep-2025","17-Sep-2025","499797","Physical Inspection"
"3827","Normal/Others","WS/MP18173/2026-2027/274251-Development of public parks","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Childrens Park and Installation of Sports materials near Kalaingar Statue in Vandavasi","19-May-2026","01-Jul-2026","1000000","Vendor Identification"
"3828","Normal/Others","WS/MP18173/2026-2027/292352-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement  at Thenputhur Panchayat","07-Jul-2026","28-Aug-2026","500000","Sanction"
"3829","Normal/Others","WS/MP18174/2025-2026/184631-Development of public parks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Construction of Terrarium at Park at Semmozhi Poonga, Central Zone in Ward No.67 of Coimbatore Corporation","20-Mar-2025","13-Nov-2025","20000000","Work partially Completed"
"3830","Normal/Others","WS/MP18174/2026-2027/224334-Construction of rooms and halls in school and colleges","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Construction of Arch at Corporation Middle School, Ramakrishnapuram in Ward No.20, North Zone of Coimbatore Corporation","02-Aug-2025","21-Aug-2026","800000","Physical Inspection"
"3831","Normal/Others","WS/MP18174/2026-2027/224347-Providing CCTV camera system for security of public areas","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Providing CCTV camera and lights at Palladam Constituency in Nathagoundenpalayam, V.Kallipalayam and various places of Tiruppr District","02-Aug-2025","15-May-2026","1000000","Physical Inspection"
"3832","Normal/Others","WS/MP18174/2026-2027/270386-Purchase of sports equipment","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Supply of Sports Equipements to Government Higher Secondary School, Samigoundanpalayam, Palladam Block,Tiruppur District","14-May-2026","20-May-2026","500000","Physical Inspection"
"3833","Normal/Others","WS/MP18174/2026-2027/270387-Purchase of IT systems, including hardware and software for educational purposes","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","Supply of Smart Class Room System to Government Higher Secondary School, Koduvai, Pongalur Block, Tiruppur District.","14-May-2026","20-May-2026","200000","Physical Inspection"
"3834","Normal/Others","WS/MP18175/2025-2026/171235-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Desk and Bench(200 set) at Govt.Boys.Hr.Sec.School, Karmangalam","31-Jan-2025","12-May-2025","2500000","Physical Inspection"
"3835","Normal/Others","WS/MP18175/2025-2026/198994-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Desk and Bench (50 set x 15500) at Govt.Girls.Higher.Sec.School B.Thirunjipatti","13-May-2025","04-Sep-2025","775000","Physical Inspection"
"3836","Normal/Others","WS/MP18175/2025-2026/208929-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and Supply of Desk and Bench(100 set)  at Government Higher Sec.School, Vellar","21-Jun-2025","31-Jan-2026","1250000","Physical Inspection"
"3837","Normal/Others","WS/MP18175/2025-2026/208930-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and Supply of Desk and Bench(100 set) at Government Boys Higher Sec.School, Mecheri","21-Jun-2025","31-Jan-2026","1250000","Physical Inspection"
"3838","Normal/Others","WS/MP18175/2025-2026/210964-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply Smart Class (INTRACTIVE PANEL 1 No.) at Panchayat union Middle School at Amaram","21-Jun-2025","06-Oct-2025","200000","Physical Inspection"
"3839","Normal/Others","WS/MP18175/2025-2026/210966-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply Smart Class (INTRACTIVE PANEL 1 No.) at Panchayat union Middle School at Thongalanoor","21-Jun-2025","06-Oct-2025","200000","Physical Inspection"
"3840","Normal/Others","WS/MP18175/2025-2026/210978-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of SMART CLASS INTRACTIVE PANEL 1 NO at Panchayat Union Middle Schoo at Andikarai","21-Jun-2025","06-Oct-2025","200000","Physical Inspection"
"3841","Normal/Others","WS/MP18175/2025-2026/210980-Purchase of smart boards, visual display units and projectors","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of SMART CLASS INTRACTIVE PANEL 1 NO at Panchayat Union Middle Schoo at Katheripatti","21-Jun-2025","06-Oct-2025","200000","Physical Inspection"
"3842","Normal/Others","WS/MP18175/2025-2026/221065-Construction of bus-sheds or bus-stops","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Construciton of New bus shelter at Samanur panchayat Samanur Koot road","22-Jul-2025","25-Nov-2025","750000","Physical Inspection"
"3843","Normal/Others","WS/MP18175/2025-2026/221088-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) with an iron wire at Adilam panchayat Sennampatti Kovil ground near","22-Jul-2025","25-Nov-2025","600000","Sanction"
"3844","Normal/Others","WS/MP18175/2025-2026/221161-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) new electric pole at Ward No.15 Nagamarai Bye-pass Road near Pennagaram Town panchayat","22-Jul-2025","27-Nov-2025","600000","Physical Inspection"
"3845","Normal/Others","WS/MP18175/2025-2026/221170-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) new electric pole at Thiothiyoppanahalli panchayat Mamarthu pallam Govt.Arts.College near","22-Jul-2025","25-Nov-2025","600000","Sanction"
"3846","Normal/Others","WS/MP18175/2025-2026/221176-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) new electric pole at Dhonnkuttlahalli panchayat Siduvampatty bus stop near(Eriyur)","22-Jul-2025","30-Jan-2026","600000","Sanction"
"3847","Normal/Others","WS/MP18175/2025-2026/221205-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) new electric pole at Errabaiyanahalli panchayat Gettu Colony","22-Jul-2025","04-Feb-2026","600000","Sanction"
"3848","Normal/Others","WS/MP18175/2025-2026/221208-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) Iron wire new electric pole at Anjehalli panchayat Rangapuram village","22-Jul-2025","25-Nov-2025","600000","Sanction"
"3849","Normal/Others","WS/MP18175/2025-2026/221215-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) Iron wire new electric pole at Lakkiyampatti panchayat primary school near","22-Jul-2025","09-Dec-2025","600000","Physical Inspection"
"3850","Normal/Others","WS/MP18175/2025-2026/221217-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) Iron wire new electric pole at Lakkiyampatti panchaya Nellinagar tank near","22-Jul-2025","09-Dec-2025","600000","Sanction"
"3851","Normal/Others","WS/MP18175/2025-2026/221224-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply of Highmast light(LED) Iron wire new electric pole at Ward No.1 Dharmapuri Road Forest Bungalow opposite B.mallapuram Town panchayat","22-Jul-2025","25-Nov-2025","600000","Physical Inspection"
"3852","Normal/Others","WS/MP18175/2025-2026/225189-Installing community drinking water plants","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","RO plant at Harur Town panchayat Harur bus stand","05-Aug-2025","26-Feb-2026","1000000","Sanction"
"3853","Normal/Others","WS/MP18175/2025-2026/225221-Installing community drinking water plants","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","RO Plant at Govt.Engineering College Settikarai","08-Aug-2025","10-Dec-2025","1000000","Physical Inspection"
"3854","Normal/Others","WS/MP18175/2025-2026/225914-Street lights","Tamil Nadu","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","Procurement and supply Highmast light New pole with with an iron cord  (12m) at Thadangam panchayat District Collectorate Additional Building (4 Nos.)","08-Aug-2025","10-Dec-2025","2400000","Physical Inspection"
