"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"86","Normal/Others","WS/MP393/2025-2026/168557-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing at mini mast light in 7th ward Piramanur Road santhippu Near Mislim Pallivasal in Thirupuvanam Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","26-Jul-2025","400000"
"87","Normal/Others","WS/MP393/2025-2026/170403-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of Bus stop in Malampatti Village in Velangudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","25-Oct-2025","699936"
"88","Normal/Others","WS/MP393/2025-2026/170404-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of bore well and bathtub in Athankaraipatti village. Vaniyankadu Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","22-Nov-2025","548595"
"89","Normal/Others","WS/MP393/2025-2026/170723-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","construction of Drama Stage in Near Sithi Vinayagar Kovil in Kurumbur Village, Kurumbur  Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","27-Jan-2026","849228"
"90","Normal/Others","WS/MP393/2025-2026/181265-Construction of buildings for community cultural activities","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MPLADS 2024-25 CONTRUCTION OF PDS BUILDING KUPPAKUDI VILLAGE IN KUPAKUDI PANCHAYAT","Shri Karti P Chidambaram","SIVAGANGA","Images","27-Oct-2025","1449247"
"91","Normal/Others","WS/MP393/2025-2026/186701-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","MP LADS 2024-25 Providing in mini mast light near arulmigu balasubramanian kovil in senganthankudi village, senganthankudi panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","23-Oct-2025","499444"
"92","Normal/Others","WS/MP393/2025-2026/186702-Construction of public staircase/ stair ghat for public convenience","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MP LADS 2024-25) Constructuion of Oorani Maruthani staircase, stair  convenience Maruthani Village, Thennervayal panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","26-Aug-2025","498279"
"93","Normal/Others","WS/MP393/2025-2026/190166-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing in Tesk and Bench  Kannankudi Government Higher Secondary School","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Sep-2025","800000"
"94","Normal/Others","WS/MP393/2025-2026/190167-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing in tesk and bench Ramanathan Chettiar Municipal High School In Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Sep-2025","800000"
"95","Normal/Others","WS/MP393/2025-2026/190168-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing in tesk and bench Jeyakondan High School In Sakkottai Union","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Sep-2025","800000"
"96","Normal/Others","WS/MP393/2025-2026/190169-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing in tesk and bench Government Girls Higher Secondary School,  Manamadurai Municipality","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Sep-2025","800000"
"97","Normal/Others","WS/MP393/2025-2026/190170-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing inTesk and Bench Muthupattinam Government Girls Higher Secondary School, Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Sep-2025","800000"
"98","Normal/Others","WS/MP393/2025-2026/190425-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS2024-25) Providing in Near Kottai Karuppar Kovil at High Mast Light in Thirupathur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","15-Jul-2025","800000"
"99","Normal/Others","WS/MP393/2025-2026/190426-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS2024-25) Providing in Near Arasamara PillaiyarKovil at Mini Mast Light , Velangudi pudur at Kottaiyur Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","07-Feb-2026","483538"
"100","Normal/Others","WS/MP393/2025-2026/190427-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","MPLADS 2024-25) Construction of Drama Stage Near Iyyanar Kovil at Kavathukudi Village in Kavathukudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","17-Oct-2025","942865"
"101","Normal/Others","WS/MP393/2025-2026/190429-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Construction of Bus Stop in Kumani Village at Seluvatti Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-Feb-2026","598675"
"102","Normal/Others","WS/MP393/2025-2026/190430-Construction of bus-sheds or bus-stops","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2024-25) Construction of Bus Stop in Kulavaipatti Village at Edaiyathur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-Feb-2026","599494"
"103","Normal/Others","WS/MP393/2025-2026/190462-Providing supply pipelines for drinking water","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS  2024-25) CONTRUCTION OF DEEP WELL AND ELECTRIC MOTOR AT NANTHANAM AREA IN THIRUKATTALAI PANCHAYAT","Shri Karti P Chidambaram","SIVAGANGA","N/A","26-Dec-2025","450000"
"104","Normal/Others","WS/MP393/2025-2026/193778-Construction of buildings for sports facilities","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2024-25) Providing Gallery Shed at Kalanivasal, Kaliswaran Football Association Sports ground in Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","N/A","17-Mar-2026","300000"
"105","Normal/Others","WS/MP393/2025-2026/206173-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(Mp Lads 2025-26) Providing in Mini Mast Light Near Nithiyakalyani Kovil in Kovil Ilayathangudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","15-Dec-2025","496083"
"106","Normal/Others","WS/MP393/2025-2026/206174-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(Mp Lads 2025-26) Construction of Bore well and Bath tube in Keelanilai Village in Thirukalapatti Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","17-Nov-2025","499897"
"107","Normal/Others","WS/MP393/2025-2026/206227-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Providing in Mini Mast light Near Amaravathi Mahal Keela Theru, Kandanur Road Junction in Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","N/A","28-Mar-2026","500000"
"108","Normal/Others","WS/MP393/2025-2026/206228-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Providing in Mini Mast light Near  Mariamman Kovil South Car Street in Karaikudi Corporation","Shri Karti P Chidambaram","SIVAGANGA","N/A","20-Mar-2026","500000"
"109","Normal/Others","WS/MP393/2025-2026/206229-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage near Kathamaravaar Kaliamman Kovil in Ayenimanai Village in Sirugapatti Panchyat","Shri Karti P Chidambaram","SIVAGANGA","N/A","05-May-2026","949670"
"110","Normal/Others","WS/MP393/2025-2026/206230-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage near Sri Mariamman Kovil Senganthankudi Village, Senganthankudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","24-Mar-2026","949959"
"111","Normal/Others","WS/MP393/2025-2026/206231-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Bore well Near Mandukundu Oorani in Periyakottai Village, Periyakottai Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","29-Sep-2025","649581"
"112","Normal/Others","WS/MP393/2025-2026/206232-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of  gold star football club Spectator seat karuviyapatti Village. Vadakudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","13-Nov-2025","699753"
"113","Normal/Others","WS/MP393/2025-2026/206233-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in SC COLONY Nagamathi Village, Sarugani Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","26-Sep-2025","948142"
"114","Normal/Others","WS/MP393/2025-2026/206234-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in Near Ayyanar Kovil Vilankattur Village, Thiruvegampatur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","26-Aug-2025","948083"
"115","Normal/Others","WS/MP393/2025-2026/206235-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in Near Sri Selva vinagayakar Kovil in Chettiyenthal Village, Manavikottai Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","12-Feb-2026","947982"
"116","Normal/Others","WS/MP393/2025-2026/206238-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in Near Dahrma Muniswarar Kovil in Kallupati Village, Kallupatti Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Dec-2025","949258"
"117","Normal/Others","WS/MP393/2025-2026/206239-Construction of stadiums","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Manjuvirattu Ground Gallery in Siravayal Village, Siravayal Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","23-Jan-2026","799537"
"118","Normal/Others","WS/MP393/2025-2026/206240-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in Ugampatti Village, Kurunthampattu Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Dec-2025","944424"
"119","Normal/Others","WS/MP393/2025-2026/206241-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Constriction of Drama Stage in Near Sri Muniswarar Alayam in Ramanayakkar Enthal Village, Visalayankottai Panachayat","Shri Karti P Chidambaram","SIVAGANGA","Images","08-Dec-2025","944552"
"120","Normal/Others","WS/MP393/2025-2026/206413-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of  Drama Stage  in SC COLONY Annanagar in O.PUDUR Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-May-2026","936274"
"121","Normal/Others","WS/MP393/2025-2026/206414-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Drama Stage Near Arulmigu Sri muthumariamman Kovil in Arasani Muthupatti Village, Arasani Muthupatti Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","20-Jan-2026","942991"
"122","Normal/Others","WS/MP393/2025-2026/206415-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Drama Stage Near Punitha Arulanthar Alayam in Dhalirthalai Village, Marandai Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","06-May-2026","944896"
"123","Normal/Others","WS/MP393/2025-2026/206418-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Bus stop in Kachanatham Village, Sullankudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Mar-2026","598242"
"124","Normal/Others","WS/MP393/2025-2026/206419-Construction of bus-sheds or bus-stops","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Busstop in Peesarpattinam exemption. Kalpiravu Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Mar-2026","589872"
"125","Normal/Others","WS/MP393/2025-2026/206421-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Bore well and Bath tub in Keelathari Village, Keelathari Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","16-Mar-2026","449596"
"126","Normal/Others","WS/MP393/2025-2026/206422-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","(MPLADS 2025-26) Construction of Drama Stage in Government  Higher Sec School  in Palayanur at Palayanur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","18-Mar-2026","941244"
"127","Normal/Others","WS/MP393/2025-2026/206431-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Dining shed in N.Sanmuganathapuri Village, Neivasal Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","25-Mar-2026","699305"
"128","Normal/Others","WS/MP393/2025-2026/206432-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Drama Stage Near Satnthikaruppar Kovil in  Kumbankudi Village, Rarapuram Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","15-May-2026","698766"
"129","Normal/Others","WS/MP393/2025-2026/206451-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Drama Stage Near  Sri Veerammal kaliamman Kovil, Onankudi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","13-May-2026","829016"
"130","Normal/Others","WS/MP393/2025-2026/206452-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MPLADS 2025-26) Construction of Drama Stage Near Sri Selvavinayakar Kovil Keela Theru, in Kallur Village, Kallur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","20-Apr-2026","849836"
"131","Normal/Others","WS/MP393/2025-2026/206454-Construction of bus-sheds or bus-stops","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Bus Stop Near Alavayal Government Higher Secondary School in Thuthur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-Feb-2026","597559"
"132","Normal/Others","WS/MP393/2025-2026/206455-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Mini Community Hall in Gandhi Nagar in Melathaniyam Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","01-Apr-2026","849100"
"133","Normal/Others","WS/MP393/2025-2026/206456-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025 26) Construction of Drama Stage Near Arulmigu Muthumariamman Kovil in Lakshmi narasimhapuram Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","18-Feb-2026","799527"
"134","Normal/Others","WS/MP393/2025-2026/206484-Construction of bus-sheds or bus-stops","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025-26) Construction of Bus Stop in Seegampatti Village, R.Palakuruchi Panchahayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-Feb-2026","599541"
"135","Normal/Others","WS/MP393/2025-2026/206602-Lighting of public spaces","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","(MPLADS 2025 26) Providing of Mini Mast Light Near Sri Ariyanayaki Amman Kovil in Ethanadu Village, Piliavayal Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","24-Oct-2025","495656"
"136","Normal/Others","WS/MP393/2025-2026/206603-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MPLADS 2025-26) Construction of Drama Stage Near Madha Kovil, South Kudieruppu, Keelapanaiyur Village, Keelapanaiyur Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","12-Mar-2026","699786"
"137","Normal/Others","WS/MP393/2025-2026/206619-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","MPLADS 2025-26) Construction of Near Sivan kovil Enathi Village, Enathi Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","11-Feb-2026","699258"
"138","Normal/Others","WS/MP393/2025-2026/210037-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","MPLADS 2024-25) Providing in Mini Mast Light in Kalangathankottai Village, Kalangathankottai Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","26-Dec-2025","499852"
"139","Normal/Others","WS/MP393/2025-2026/210038-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","MPLADS 2024-25) Providing in Mini Mast Light in Mullaikulam Village in Kuvalaiveli Panchayat","Shri Karti P Chidambaram","SIVAGANGA","N/A","19-Sep-2025","499621"
